"Отметка времени","I have read the information above and agree to participate. I consent to the collection, processing, and storage of my data for this survey.","Are you currently enrolled as a Computer Science student and have you used ChatGPT in your academic work?","What degree are you pursuing? ","What is your programming experience?","In which country is the university where you are currently studying?","What is your gender?","What is your age?","Which version(s) of ChatGPT have you used?","ChatGPT helps me find accurate information and answers to academic queries.","ChatGPT enhances my academic performance.","ChatGPT is time-saving when it comes to academic work.","I trust ChatGPT as a reliable tool to generate code for programming tasks.","ChatGPT helps me learn and understand various programming concepts (e.g., functions, inheritance, objects and classes).","ChatGPT helps me debug code and fix mistakes in programming tasks.","ChatGPT is overall a useful tool for academic work.","I believe ChatGPT's reliability and accuracy are equivalent to search engines' (e.g., Google Search, Mozilla Firefox).","ChatGPT is fun to use in my academic work.","ChatGPT helps me come up with creative ideas for my academic work.","Learning how to write ChatGPT prompts to get reliable answers is easy.","I have access to adequate resources (e.g., internet, devices) to use ChatGPT effectively.","Teachers and other teaching staff believe I should use ChatGPT for academic purposes.","My peers believe I should use ChatGPT for academic purposes.","I feel comfortable telling others that I am using ChatGPT for academic purposes.","Please specify the reasons why you might feel uncomfortable telling others that you use ChatGPT for academic purposes:","If some reasons were not mentioned above, please specify:","I believe ChatGPT usage can have a positive impact on my studying process.","Please specify in which way ChatGPT usage can have a positive impact on your studying process:","I believe ChatGPT usage can have a negative impact on my studying process.","Please specify in which way ChatGPT usage can have a negative impact on your studying process:","If some concerns were not mentioned above, please specify:","How often do you need to rewrite ChatGPT prompts to get satisfactory results?","How often do you use ChatGPT for academic purposes?"," How long have you been using ChatGPT?","Have you used other AI language models or AI tools except for ChatGPT? (e.g., Bing AI, Notion AI)"
"2024/05/27 12:13:39 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Poland","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Strongly Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","","","Agree","Enhancing my knowledge by presenting information in easier way ","Agree","Problem-solving skills;Creativity","","Occasionally","Frequently","6 to 12 months","Yes"
"2024/05/27 2:22:58 PM GMT+3","Yes","Yes","Other","1-5 years","Poland","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Neither agree nor disagree","Agree","Strongly agree","","","Agree","","Agree","Critical thinking skills;Problem-solving skills;Group work skills;Creativity","","Frequently","Frequently","1 to 2 years","Yes"
"2024/05/27 3:36:08 PM GMT+3","Yes","Yes","Bachelor","1-5 years","France","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Agree","Strongly Agree","Strongly Agree","Strongly disagree","Agree","Strongly disagree","Agree","Strongly agree","Strongly disagree","Strongly agree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.;I worry about being perceived as less capable or competent if I admit to using it.","","Neither agree nor disagree","","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Always","Frequently","1 to 2 years","No"
"2024/05/27 3:58:16 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Agree","Strongly Agree","Agree","Strongly agree","Agree","Strongly Agree","Strongly agree","Disagree","Disagree","Disagree","I worry about judgment or skepticism about the credibility of my research and writing.;I worry about being perceived as less capable or competent if I admit to using it.","","Strongly agree","","Agree","Problem-solving skills;Group work skills","","Frequently","Frequently","6 to 12 months","Yes"
"2024/05/27 4:04:11 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","","","Strongly agree","in validating my assumptions and in helping me find the main bullets","Disagree","","","Occasionally","Frequently","1 to 2 years","Yes"
"2024/05/29 11:30:44 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5","Disagree","Neither agree nor disagree","Agree","Strongly Disagree","Disagree","Strongly Disagree","Agree","Strongly disagree","Strongly agree","Strongly agree","Agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Agree","","","Agree","Provide some ideas for essays and non-technical tasks. I don't use ChatGPT to solve complex problems (algorithms, for example), because I spend more time to debug them than if I wrote code by myself.","Disagree","","","Frequently","Occasionally","6 to 12 months","No"
"2024/05/29 1:12:26 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Strongly Agree","Disagree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neither agree nor disagree","Agree","Strongly Disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","","","Agree","ChatGPT is a tool that can help you learn and accumulate information at an extremely fast speed if used properly. The issue with it comes if students use it to copy and paste. ChatGPT is not even good when you try to copy and paste. The good of ChatGPT comes after you learn how to create good prompts and when you use it as a full time assistant, asking him when you have issues understanding a concept, an issue, or any other thing that requires outside information(e.g. internet, books, etc.)

The main ways I used ChatGPT in my academic years was: 
- explaining things from class I did not understand 
- summarise chapters of books I had to read in order to accumulate the information faster
- debug my code faster by sending the code and explaining the problem with it.
- generating creative ideas when I needed them(e.g. engaging titles for papers)","Strongly disagree","","","Always","Frequently","1 to 2 years","No"
"2024/05/29 3:21:16 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly Agree","Agree","Agree","Agree","Strongly Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","","","Strongly agree","Structuring academic papers. Automatically doing redundant work such as citations and transcriptions. Accesses the web to find all relevant sources for me and summaries them perfectly.","Disagree","","","Occasionally","Always","1 to 2 years","Yes"
"2024/06/01 1:45:16 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Cyprus","Female","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Agree","Agree","Disagree","Agree","Agree","","","Strongly agree","Guiding me what to focus on","Strongly disagree","","","Frequently","Frequently","6 to 12 months","Yes"
"2024/06/01 8:53:50 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Pakistan","Female","18-25 years","ChatGPT 3.5","Disagree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Strongly Agree","Disagree","Strongly agree","Strongly agree","Strongly Agree","Strongly agree","Disagree","Agree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry about judgment or skepticism about the credibility of my research and writing.;I worry about being perceived as less capable or competent if I admit to using it.","","Agree","It saves time in doing repetitive and unimportant tasks","Agree","Critical thinking skills;Problem-solving skills;Creativity","","Frequently","Frequently","1 to 2 years","No"
"2024/06/01 9:20:07 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Pakistan","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Agree","Agree","Agree","Agree","Agree","Strongly Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","","","Agree","To retrieve information and facts and then compare with another sources and then rely on Chatgpt","Neither agree nor disagree","","","Occasionally","Frequently","1 to 2 years","Yes"
"2024/06/02 12:32:52 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Pakistan","Male","18-25 years","ChatGPT 3.5","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Disagree","Strongly Agree","Disagree","Strongly agree","Strongly agree","Strongly Agree","Strongly agree","Strongly disagree","Strongly agree","Strongly agree","","","Strongly agree","It saves time like there are some topics and assignments given by our professor that are not very clear to us and ChatGPT help us in understanding those assignments and also guides us and save us the time and obviously it cant really replace the human brain but still it helps our brain to think out of the box which is a really good thing in the academic. And lets say there are some topics that we need to search on google but that require a lot of time and efforts we can simply use the ChatGPT and save that time and effort and put that time and effort in creating, innovating or exploring something more useful.","Strongly disagree","","","Frequently","Frequently","1 to 2 years","Yes"
"2024/06/04 9:19:32 AM GMT+3","Yes","Yes","Other","more than 10 years","","Non-binary","more than 35 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","Strongly agree","It's safe my time and get much more information in a time moment, then I have googled it by me self ","Strongly disagree","","","Rarely","Always","0 to 6 months","No"
"2024/06/10 10:36:24 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Neither agree nor disagree","","Neither agree nor disagree","","","Occasionally","Occasionally","1 to 2 years","No"
"2024/06/10 11:07:16 AM GMT+3","Yes","Yes","Bachelor","more than 10 years","Netherlands","Male","25-35 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Strongly Disagree","Disagree","Neither agree nor disagree","Strongly Disagree","Agree","Strongly Disagree","Strongly Disagree","Agree","Strongly agree","Disagree","Agree","Strongly agree","Disagree","Agree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.;I worry about judgment or skepticism about the credibility of my research and writing.;I worry about being perceived as less capable or competent if I admit to using it.","","Disagree","","Strongly agree","Critical thinking skills;Problem-solving skills;Creativity","","Always","Rarely","0 to 6 months","Yes"
"2024/06/10 12:01:42 PM GMT+3","Yes","Yes","Bachelor","0-1 year","Netherlands","Female","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Agree","Agree","Disagree","Neither agree nor disagree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Strongly disagree","Agree","Agree","","","Agree","It can explain simple concepts in nice ways and re explain using different words, examples or analogies in case the first explanation was unclear.","Disagree","","","Occasionally","Occasionally","1 to 2 years","Yes"
"2024/06/10 1:11:15 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Agree","Strongly Agree","Agree","Agree","Agree","Strongly agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","","","Agree","It can summarise slides, explain hard concepts easily and show you a solution when you're stuck","Neither agree nor disagree","","","Occasionally","Occasionally","1 to 2 years","Yes"
"2024/06/11 5:10:15 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Female","18-25 years","ChatGPT 3.5","Agree","Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly Agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly agree","Strongly agree","","","Strongly agree","debug, learn new concept, write some non sense report","Agree","Problem-solving skills","","Frequently","Frequently","1 to 2 years","No"
"2024/06/13 1:06:03 AM GMT+3","Yes","Yes","Master","1-5 years","Russia","Male","25-35 years","ChatGPT 3.5;ChatGPT 4","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","","","Agree","Answering the question about the technology ","Neither agree nor disagree","","","Frequently","Frequently","6 to 12 months","Yes"
"2024/06/14 10:44:38 AM GMT+3","Yes","Yes","Bachelor","0-1 year","Russia","Male","18-25 years","ChatGPT 4;Chat GPT 4o","Neither agree nor disagree","Agree","Strongly Agree","Neither agree nor disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","Neither agree nor disagree","Agree","Agree","","","Agree","","Disagree","","","Occasionally","Occasionally","6 to 12 months","No"
"2024/06/14 10:55:35 AM GMT+3","Yes","Yes","Bachelor","0-1 year","Russia","Male","18-25 years","ChatGPT 3.5","Agree","Agree","Agree","Disagree","Agree","Disagree","","Agree","Agree","Agree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry about judgment or skepticism about the credibility of my research and writing.","","Agree","It's quite fast to generate new idea how to solve the problem, but i prefer not to rely on ChatGPT implementation","Strongly agree","Critical thinking skills;Problem-solving skills","You can't just copy and paste ChatGPT response, it is quite buggy and often ChatGPT has hallucinations. Also it makes you less competent in your field if you offload all your work to LLM","Frequently","Occasionally","0 to 6 months","Yes"
"2024/06/14 11:05:16 AM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Strongly Agree","Strongly Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Strongly Agree","Agree","Neither agree nor disagree","Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","","","Strongly agree","","Strongly disagree","","","Frequently","Frequently","1 to 2 years","Yes"
"2024/06/14 1:59:31 PM GMT+3","Yes","Yes","Bachelor","1-5 years","France","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Strongly Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Strongly Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly agree","Agree","Strongly agree","Agree","","","Agree","It helps me to save time doing boring, repetitive tasks and instead allows me to focus on the flow of ideas and creating simple prototypes and not debug for countless hours","Agree","Problem-solving skills","","Frequently","Frequently","1 to 2 years","Yes"
"2024/06/14 7:26:28 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Disagree","Disagree","Agree","Agree","Disagree","Strongly Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Neither agree nor disagree","Agree","Agree","","","Strongly agree","can help  to avoid routine and boring long tasks","Agree","Critical thinking skills;Problem-solving skills","","Occasionally","Occasionally","6 to 12 months","Yes"
"2024/06/14 8:20:22 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Russia","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Strongly Agree","Strongly Agree","Disagree","Strongly Agree","Neither agree nor disagree","Agree","Strongly disagree","Agree","Strongly disagree","Disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Strongly agree","I'm often interested in something or need to know something, but searching the Internet takes a lot of time and the essence of the information is not always clear. AI explains clearly and finds quickly, allowing you to save time, thereby speeding up the learning process.","Disagree","","","Frequently","Occasionally","0 to 6 months","Yes"
"2024/06/14 9:25:42 PM GMT+3","Yes","Yes","Bachelor","5-10 years","Russia","Other","18-25 years","ChatGPT 3.5","Agree","Agree","Agree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Agree","Agree","Agree","Neither agree nor disagree","Strongly Agree","Strongly agree","Disagree","Strongly agree","Neither agree nor disagree","","","Strongly agree","searching for accurate information, composing beautifully formed text, finding and fixing bugs","Disagree","","","Frequently","Rarely","6 to 12 months","Yes"
"2024/06/15 12:39:49 AM GMT+3","Yes","Yes","Master","0-1 year","Russia","Male","25-35 years","ChatGPT 3.5;ChatGPT 4","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Strongly Agree","Disagree","Strongly agree","Agree","Strongly Agree","Strongly agree","Agree","Agree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry that others might view my use of ChatGPT as being lazy.","","Agree","ChatGPT impacts my speed and gives me variety ","Agree","Critical thinking skills;Group work skills","","Frequently","Frequently","1 to 2 years","No"
"2024/06/16 11:20:01 PM GMT+3","Yes","Yes","Master","1-5 years","France","Female","18-25 years","ChatGPT 3.5;ChatGPT 4","Agree","Neither agree nor disagree","Agree","Neither agree nor disagree","Agree","Strongly Agree","Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Disagree","I worry that others might question the authenticity and originality of my work.;I worry about judgment or skepticism about the credibility of my research and writing.;I worry about being perceived as less capable or competent if I admit to using it.","","Agree","Saving my time for writing documents (report - when you have the results and you need to describe everything else), documentation, official emails (especially in another language).","Agree","Critical thinking skills;Problem-solving skills","","Frequently","Occasionally","6 to 12 months","Yes"
"2024/06/17 7:27:47 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Agree","Agree","Strongly Agree","Disagree","Strongly Agree","Agree","Agree","Strongly disagree","Agree","Agree","Neither agree nor disagree","Strongly agree","Agree","Agree","Agree","","","Strongly agree","It helps me find bugs faster, find necessary things more quickly than going through all the documentation, suggest names for my functions, and give ideas on how I can improve them.","Disagree","","","Frequently","Frequently","1 to 2 years","Yes"
"2024/06/17 7:33:56 PM GMT+3","Yes","Yes","Bachelor","more than 10 years","Netherlands","Male","18-25 years","ChatGPT 3.5","Neither agree nor disagree","Neither agree nor disagree","Agree","Strongly Disagree","Neither agree nor disagree","Strongly Disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Neither agree nor disagree","Agree","","","Agree","Personally I am more a fan of browsing the web for answers, blog posts, and articles.
However I can see how for someone else ChatGPT may help them understand concepts.","Agree","Critical thinking skills;Problem-solving skills","","Occasionally","Rarely","6 to 12 months","No"
"2024/06/17 8:10:58 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Male","18-25 years","ChatGPT 3.5;Chat GPT 4o","Neither agree nor disagree","Strongly Agree","Neither agree nor disagree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Agree","Strongly agree","Agree","Agree","Strongly agree","Agree","Strongly agree","Strongly agree","","","Strongly agree","It is quicker to ask chatgpt for a solution to my general problem. It then provides a few algorithms with names and then i can start researching those algorithms, also using other sources than ai.","Disagree","","","Occasionally","Frequently","6 to 12 months","Yes"
"2024/06/18 1:22:14 PM GMT+3","Yes","Yes","Master","1-5 years","United States","Male","25-35 years","ChatGPT 3.5;ChatGPT 4","Agree","Neither agree nor disagree","Strongly Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neither agree nor disagree","Agree","Strongly agree","Agree","Agree","Agree","","","Agree","ChatGPT helps me reduce the manual labour work of sentence formation and checking for grammatical errors, it is basically a one stop solution for academic purposes.","Agree","Critical thinking skills;Problem-solving skills;Creativity","Na","Occasionally","Occasionally","1 to 2 years","Yes"
"2024/06/19 11:30:27 PM GMT+3","Yes","Yes","Bachelor","1-5 years","Netherlands","Other","18-25 years","ChatGPT 3.5;ChatGPT 4;Chat GPT 4o","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Strongly Agree","Strongly Agree","Strongly Agree","Agree","Neither agree nor disagree","Neither agree nor disagree","Disagree","Strongly agree","Agree","Agree","Agree","","","Strongly agree","","Neither agree nor disagree","","","Frequently","Frequently","1 to 2 years","Yes"
